USERTYPE,USERNAME,PASSWORD,AUTH_URL,API_URL,ATLASSIAN_URL,SUBSCRIPTIONAPI_URL,FROMDT,TODT,INVOICE_SCHEDULE
ADMIN,teachers1@gmail.com,Test@123,https://www.googleapis.com/identitytoolkit/v3/relyingparty/verifyPassword?key=AIzaSyD7oMsXvjTMB0S3Xwbm0wV0ycQvE8AZiig,https://qa-api.mousiki.io/api/v1/,https://jsd-widget.atlassian.com/api/,https://qa-subscription.api.mousiki.io/api/v1/,06/28/2021,04/28/2023,WEEKLY
ADMIN,sub_admin@gmail.com,Test@123,https://www.googleapis.com/identitytoolkit/v3/relyingparty/verifyPassword?key=AIzaSyD7oMsXvjTMB0S3Xwbm0wV0ycQvE8AZiig,https://qa-api.mousiki.io/api/v1/,https://jsd-widget.atlassian.com/api/,https://qa-subscription.api.mousiki.io/api/v1/,06/28/2021,04/28/2023,WEEKLY
ADMIN,school4.6@gmail.com,Test@123,https://www.googleapis.com/identitytoolkit/v3/relyingparty/verifyPassword?key=AIzaSyD7oMsXvjTMB0S3Xwbm0wV0ycQvE8AZiig,https://qa-api.mousiki.io/api/v1/,https://jsd-widget.atlassian.com/api/,https://qa-subscription.api.mousiki.io/api/v1/,06/28/2021,04/28/2023,WEEKLY
ADMIN,mschool@msupport.io,Test@123,https://www.googleapis.com/identitytoolkit/v3/relyingparty/verifyPassword?key=AIzaSyD7oMsXvjTMB0S3Xwbm0wV0ycQvE8AZiig,https://qa-api.mousiki.io/api/v1/,https://jsd-widget.atlassian.com/api/,https://qa-subscription.api.mousiki.io/api/v1/,06/28/2021,04/28/2023,WEEKLY
ADMIN,adminm1@test.io,Test@123,https://www.googleapis.com/identitytoolkit/v3/relyingparty/verifyPassword?key=AIzaSyD7oMsXvjTMB0S3Xwbm0wV0ycQvE8AZiig,https://qa-api.mousiki.io/api/v1/,https://jsd-widget.atlassian.com/api/,https://qa-subscription.api.mousiki.io/api/v1/,06/28/2021,04/28/2023,WEEKLY
ADMIN,iadmin@mousiki.us,Test@123,https://www.googleapis.com/identitytoolkit/v3/relyingparty/verifyPassword?key=AIzaSyD7oMsXvjTMB0S3Xwbm0wV0ycQvE8AZiig,https://qa-api.mousiki.io/api/v1/,https://jsd-widget.atlassian.com/api/,https://qa-subscription.api.mousiki.io/api/v1/,06/28/2021,04/28/2023,WEEKLY
ADMIN,qmsone@gmail.com,Test@123,https://www.googleapis.com/identitytoolkit/v3/relyingparty/verifyPassword?key=AIzaSyD7oMsXvjTMB0S3Xwbm0wV0ycQvE8AZiig,https://qa-api.mousiki.io/api/v1/,https://jsd-widget.atlassian.com/api/,https://qa-subscription.api.mousiki.io/api/v1/,06/28/2021,04/28/2023,WEEKLY
ADMIN,sreddy+7@ab2consulting.com,Test@123,https://www.googleapis.com/identitytoolkit/v3/relyingparty/verifyPassword?key=AIzaSyD7oMsXvjTMB0S3Xwbm0wV0ycQvE8AZiig,https://qa-api.mousiki.io/api/v1/,https://jsd-widget.atlassian.com/api/,https://qa-subscription.api.mousiki.io/api/v1/,06/28/2021,04/28/2023,WEEKLY
TEACHER,QNhyid5hSi@gmail.com,Test@123,https://www.googleapis.com/identitytoolkit/v3/relyingparty/verifyPassword?key=AIzaSyD7oMsXvjTMB0S3Xwbm0wV0ycQvE8AZiig,https://qa-api.mousiki.io/api/v1/,https://jsd-widget.atlassian.com/api/,https://qa-subscription.api.mousiki.io/api/v1/,06/28/2021,04/28/2023,WEEKLY
TEACHER,teacher_sub_basic_1@gmail.com,Test@123,https://www.googleapis.com/identitytoolkit/v3/relyingparty/verifyPassword?key=AIzaSyD7oMsXvjTMB0S3Xwbm0wV0ycQvE8AZiig,https://qa-api.mousiki.io/api/v1/,https://jsd-widget.atlassian.com/api/,https://qa-subscription.api.mousiki.io/api/v1/,06/28/2021,04/28/2023,WEEKLY
